Stock No.,Stock  Type,Year,Make,Model,Model No.,Model  Type,Body  Style,Color,Interior Color,Engine,Retail,Invoice,Lot,Co.,Age,Status,VIN,Deal  No.,Mileage
83039,NEW,2018,CHEV,CRUZE,1BR69,C,SD,SUMMIT WHITE,DK ATMOSPHERE/MED ATMOSPHERE,LE2 1.4L TURBO DOHC 4-CYL DI W/CVVT,20400,19716.64,,90,,T,1G1BC5SM1J7153534,,3
83040,NEW,2018,CHEV,CRUZE,1BT68,C,HB,SUMMIT WHITE,JET BLACK,LE2 1.4L TURBO DOHC 4-CYL DI W/CVVT,22795,22027.8,,90,,T,3G1BE6SM5JS573394,,3
84008,NEW,2018,CHEV,EQUINOX,1XP26,MP,UT,NIGHTFALL GRAY METALLIC,MEDIUM ASH GRAY,LYX 1.5L TURBO DOHC 4-CYL SIDI VVT,26455,25307.05,,90,142,S,2GNAXHEV3J6173109,,3
84013A,USED,2012,GMC,YUKON XL,,MP,UT,WHITE,,5.3 Liter SFI,24903,,SERVICE,90,4,S,1GKS2KE75CR151795,,87470
84022,NEW,2018,CHEV,TRAVERSE,1NC56,MP,UT,SILVER ICE METALLIC,DK ATMOSPHERE/MED ASH GRAY,LFY 3.6L V6 SIDI VVT,36145,34535,,90,105,S,1GNERGKW8JJ111730,,18
84023A,USED,2015,CHEV,SILVERADO 2500,,TK,PU,GREY,,6.6 Liter Turbo Duramax,49793,,LOT,90,38,S,1GC1KVE89FF172219,,17603
84027A,USED,2013,GMC,YUKON XL,,MP,UT,SILVER,,5.3 Liter SFI,33734,,LOT,90,53,S,1GKS2HE76DR287258,,37429
84028,NEW,2018,CHEV,COLORADO,12V43,TK,PU,CAJUN RED TINTCOAT,JET BLACK,LGZ 3.6L DI DOHC V6 VVT,40380,38481.88,,90,105,S,1GCGTDEN3J1109582,,12
84031,NEW,2018,CHEV,COLORADO,12M43,TK,PU,SILVER ICE METALLIC,JET BLACK / DARK ASH,LCV 2.5L I4 DI DOHC VVT,27830,26590.44,,90,88,S,1GCGSBEA7J1114112,,17
84032A,USED,2012,FORD,F-250,W2B,TK,PU,,,6.7 Liter,44015,,SERVICE,90,17,S,1FT7W2BT5CEB54338,,68209
84039B,USED,2013,DODG,DART,,C,SD,BLUE,,2.0 Liter,,,WHSLE,90,10,S,1C3CDFBA5DD139814,,116513
84044,NEW,2018,CHEV,COLORADO,12V43,TK,PU,GRAPHITE METALLIC,"LEATHER-APPOINTED, JET BLACK",LGZ 3.6L DI DOHC V6 VVT,39905,38047.25,,90,66,S,1GCGTDEN6J1134797,,9
84045A,USED,2015,CHEV,SILVERADO 2500,,TK,PU,RED,,6.6 Liter Turbo Duramax,55939,,LOT,90,46,S,1GC1KWE83FF642931,,32656
84046,NEW,2018,CHEV,COLORADO,12N43,TK,PU,KINETIC BLUE METALLIC,JET BLACK / DARK ASH,LCV 2.5L I4 DI DOHC VVT,31005,29606.76,,90,31,S,1GCGSCEA9J1147456,,3
84048,NEW,2018,CHEV,COLORADO,12U43,TK,PU,SUMMIT WHITE,JET BLACK / DARK ASH,LGZ 3.6L DI DOHC V6 VVT,38540,36711.69,,90,44,S,1GCGTCEN5J1146322,,13
84049A,USED,2014,BUIC,VERANO,,C,SD,,,2.4 Liter SIDI DOHC,,,SERVICE,90,3,S,1G4PP5SK3E4141761,,49982
84050A,USED,2014,DODG,AVENGER,,C,SD,SILVER,,2.4 Liter,,,WHSLE,90,2,S,1C3CDZAB4EN226045,,106062
84051,NEW,2018,CHEV,TRAX,1JR76,MP,UT,SILVER ICE METALLIC,JET BLACK,LUV ECOTEC TURBO 1.4L VVT DOHC 4-CYLINDER SMFI,23485,22694.1,,90,59,S,KL7CJNSB7JB548084,,11
84052A,USED,2013,TOYO,COROLLA,,C,SD,GOLD,,1.8 Liter,10142,,LOT,90,42,S,5YFBU4EE6DP210672,,92703
84053,NEW,2018,CHEV,TRAX,1JV76,MP,UT,SUMMIT WHITE,JET BLACK,LUV ECOTEC TURBO 1.4L VVT DOHC 4-CYLINDER SMFI,24335,23491.85,,90,50,S,KL7CJLSB7JB547859,,11
84054,NEW,2018,CHEV,EQUINOX,,MP,UV,NIGHTFALL GRAY,JET BLACK,1.5 Liter DOHC Turbo,29940,28980.35,,90,56,S,2GNAXJEV1J6202002,,158
84057,NEW,2018,CHEV,COLORADO,12M53,TK,PU,SATIN STEEL GRAY METALLIC,JET BLACK / DARK ASH,LCV 2.5L I4 DI DOHC VVT,25450,24545.33,,90,30,S,1GCHSBEA9J1155507,,8
84058,NEW,2018,CHEV,SILVERADO 1500,CK15543,TK,PU,RED HOT,COCOA / DUNE,L83 5.3L ECOTEC3 V8,50885,47797.73,,90,31,S,3GCUKREC5JG220864,,8
84059,NEW,2018,CHEV,COLORADO,12N53,TK,PU,SUMMIT WHITE,JET BLACK / DARK ASH,LCV 2.5L I4 DI DOHC VVT,28670,27392.64,,90,30,S,1GCHSCEAXJ1155439,,11
84060,NEW,2018,CHEV,TRAX,1JV76,MP,UT,NIGHTFALL GRAY METALLIC,JET BLACK,LUV ECOTEC TURBO 1.4L VVT DOHC 4-CYLINDER SMFI,24385,23541.85,,90,37,S,KL7CJLSB4JB540688,,11
84062,NEW,2018,CHEV,SILVERADO 1500,CK15543,TK,PU,CAJUN RED TINTCOAT,JET BLACK / MED ASH GRAY,L83 5.3L ECOTEC3 V8,58485,55005.73,,90,,T,3GCUKTEC4JG225874,,3
84063A,USED,2013,CHEV,EQUINOX,,MP,UT,WHITE,,2.4 Liter SIDI DOHC,17701,17701,SERVICE,90,11,S,2GNALPEK2D6103729,,22890
84065,NEW,2018,CHEV,SILVERADO 2500,,TK,PU,SILVER ICE,JET BLACK,6.6 Liter Turbo,66005,61541.16,,90,45,S,1GC1KWEY0JF101098,,311
84066,NEW,2018,CHEV,SILVERADO 1500,CK15543,TK,PU,CAJUN RED TINTCOAT,JET BLACK / MED ASH GRAY,L83 5.3L ECOTEC3 V8,58485,55005.73,,90,,T,3GCUKTEC5JG229948,,15
84067,NEW,2018,CHEV,SILVERADO 1500,CK15753,TK,PU,SILVER ICE METALLIC,JET BLACK / DARK ASH,LV3 4.3L ECOTEC3 V6,40485,38869.48,,90,20,S,1GCVKPEH7JZ180260,,6
84068,NEW,2018,CHEV,SILVERADO 2500,CK25743,TK,PU,DEEP OCEAN BLUE METALLIC,COCOA / DUNE,L5P DURAMAX 6.6L TURBO-DIESEL V8,69740,64962.69,,90,20,S,1GC1KWEY6JF166313,,23
84069,NEW,2018,CHEV,SILVERADO 1500,CK15743,TK,PU,SUMMIT WHITE,COCOA / DUNE,L83 5.3L ECOTEC3 V8,49770,46764.63,,90,18,S,1GCUKREC6JF167349,,19
84070,NEW,2018,CHEV,SILVERADO 1500,CK15543,TK,PU,CAJUN RED TINTCOAT,JET BLACK,L83 5.3L ECOTEC3 V8,48685,45736.98,,90,1,S,3GCUKREC0JG238138,,3
84071,NEW,2018,CHEV,TAHOE,CK15706,MP,UT,SUMMIT WHITE,COCOA/DUNE,L86 6.2L ECOTEC3 V8,71875,67829.6,,90,20,S,1GNSKCKJ9JR172445,,3
84072,NEW,2018,CHEV,SILVERADO 1500,CC15753,TK,PU,SUMMIT WHITE,JET BLACK / DARK ASH,LV3 4.3L ECOTEC3 V6,36665,35195.08,,90,,T,1GCRCPEH8JZ186518,,8
84073B,USED,2006,DODG,RAM 2500,,TK,QC,SILVER,,5.9 Liter Turbo Diesel,29969,,SERVICE,90,4,S,3D7KS28C96G247038,,72000
84074,NEW,2018,CHEV,SILVERADO 1500,CK15543,TK,PU,IRIDESCENT PEARL TRICOAT,JET BLACK / MED ASH GRAY,L83 5.3L ECOTEC3 V8,58985,55463.23,,90,,T,3GCUKTEC1JG239375,,3
84075,NEW,2018,CHEV,TAHOE,CC15706,MP,UT,BLACK,JET BLACK,L83 5.3L V8 ECOTEC3 FLEX FUEL CAPABLE,53875,50983.1,,90,1,S,1GNSCBKC2JR190942,,3
84076,NEW,2018,CHEV,SILVERADO 1500,CK15543,TK,PU,IRIDESCENT PEARL TRICOAT,COCOA / DUNE,L83 5.3L ECOTEC3 V8,51700,48543.46,,90,1,S,3GCUKREC5JG241603,,3
84077,NEW,2018,CHEV,COLORADO,12P43,TK,PU,SATIN STEEL GRAY METALLIC,JET BLACK,LGZ 3.6L DI DOHC V6 VVT,42980,41090.69,,90,1,S,1GCGTEEN6J1167837,,36
84078,NEW,2018,CHEV,SILVERADO 1500,CK15743,TK,PU,GRAPHITE METALLIC,JET BLACK,L83 5.3L ECOTEC3 V8,49005,46064.65,,90,1,S,1GCUKREC3JF171259,,3
84079,NEW,2018,CHEV,SILVERADO 1500,CK15743,TK,PU,CAJUN RED TINTCOAT,JET BLACK,L83 5.3L ECOTEC3 V8,51615,48500.55,,90,,T,3GCUKREC6JG242114,,3
84080,NEW,2018,CHEV,COLORADO,12N53,TK,PU,RED HOT,JET BLACK,LGZ 3.6L DI DOHC V6 VVT,34620,33000.28,,90,1,S,1GCHTCEN4J1171863,,3
84081,NEW,2018,CHEV,TAHOE,CK15706,MP,UT,SILVER ICE METALLIC,JET BLACK,L86 6.2L ECOTEC3 V8,71875,67829.6,,90,,T,1GNSKCKJ9JR197751,,3
84082,NEW,2018,CHEV,TAHOE,CK15706,MP,UT,PEPPERDUST METALLIC,COCOA / DUNE,L83 5.3L V8 ECOTEC3,57655,54531.8,,90,,T,1GNSKBKC8JR198661,,3
84083,NEW,2018,CHEV,COLORADO,12N43,TK,PU,CAJUN RED TINTCOAT,JET BLACK,LGZ 3.6L DI DOHC V6 VVT,36745,35065.26,,90,1,S,1GCGTCEN0J1174190,,3
84084,NEW,2018,CHEV,SILVERADO 2500,CK25743,TK,PU,HAVANA METALLIC,SADDLE,L5P DURAMAX 6.6L TURBO-DIESEL V8,69895,65231.31,,90,,T,1GC1KXEY7JF176712,,3
84085,NEW,2018,CHEV,TAHOE,CK15706,MP,UT,HAVANA METALLIC,COCOA / DUNE,L83 5.3L V8 ECOTEC3,52525,49683.95,,90,,T,1GNSKAKC1JR200745,,3
